id1	id2	promoterdis	length1	length2	overlap	goverlap	sin1	sin2	sin3	snuc
AT5G18260	AT5G18255	2494	1905	2033	1442	D	1	1	1	1
AT1G17745	AT1G05317	2535	4100	579	578	A	0	0	0	1
AT5G07150	AT5G07152	2544	2545	2593	2544	B	1	1	1	1
AT1G04220	AT1G04247	2561	3005	2302	2301	A	0	0	1	1
AT3G19290	AT3G03815	2568	2892	2516	2515	A	0	0	1	0
AT3G47960	AT3G07835	2578	2807	324	323	A	0	0	1	0
AT5G66560	AT5G66558	2605	2520	2884	2519	B	1	1	1	1
AT3G46670	AT3G46668	2642	1670	2777	1669	B	0	0	1	0
AT1G20460	AT1G05553	2652	2502	481	329	C	0	0	1	0
AT2G42370	AT2G42365	2664	2200	5378	2199	B	0	0	1	1
AT5G20510	AT5G03175	2669	3110	2517	2516	A	0	0	1	0
AT2G29525	AT2G08345	2675	2537	594	454	C	0	0	1	0
AT1G68870	AT1G68872	2676	661	2467	450	C	1	0	0	0
AT3G13772	AT3G02765	2685	2917	338	337	A	0	0	1	0
AT5G01600	AT5G01595	2688	1696	2315	1321	D	1	1	1	1
AT4G26540	AT4G26542	2691	3585	2764	2691	C	1	1	1	1
AT2G26360	AT2G26355	2692	1885	828	19	D	1	0	1	1
AT5G63190	AT5G63195	2708	2995	1658	1657	A	1	1	1	0
AT2G40010	AT2G40008	2716	2394	1508	1184	D	1	1	1	0
AT1G67790	AT1G67792	2721	2558	2875	2557	B	1	1	1	1
AT1G64580	AT1G64572	2751	1973	785	5	D	1	1	1	1
AT1G76390	AT1G09627	2751	3330	2879	2751	D	0	0	1	1
AT1G48700	AT1G48698	2760	2223	2392	1853	D	0	0	1	1
AT3G52540	AT3G52535	2764	1348	1423	5	D	0	0	1	1
AT5G23240	AT5G03585	2771	1823	1099	149	D	0	0	1	1
AT2G02950	AT2G04465	2772	2649	313	188	D	0	0	1	0
AT5G18240	AT5G18245	2777	2368	5323	2367	B	0	1	1	1
AT5G20940	AT5G03255	2803	2908	2936	2803	C	0	0	1	1
AT4G31250	AT4G31248	2805	3013	1672	1671	A	0	1	1	1
AT4G25720	AT4G25719	2806	2783	1230	1205	D	1	1	1	1
AT5G10970	AT5G10965	2821	819	4598	818	B	0	0	1	1
AT2G05810	AT2G05812	2825	3200	3115	2825	C	0	1	1	1
AT2G46570	AT2G46572	2833	2798	2972	2797	B	1	1	1	1
AT1G51640	AT1G51645	2834	2528	2835	2527	B	0	1	1	1
AT4G36050	AT4G36052	2845	3282	1153	1152	A	1	0	1	1
AT3G59690	AT3G59695	2846	2843	1866	1861	C	1	1	1	0
AT4G28650	AT4G28652	2862	3580	2743	2742	A	1	1	1	1
AT5G19220	AT5G19221	2866	2985	2386	2385	A	1	0	1	1
AT4G27500	AT4G07855	2899	2973	2769	2768	A	0	0	1	0
AT5G10840	AT5G01835	2902	3137	599	598	A	0	0	1	0
AT1G13450	AT1G13448	2943	2429	687	171	D	1	1	1	1
AT1G15950	AT1G05213	2944	3337	2457	2456	A	0	0	1	1
AT1G76880	AT1G76878	2944	2912	2954	2911	B	1	1	1	1
AT5G54570	AT5G54569	2962	2600	3338	2599	B	0	1	1	1
AT3G26680	AT3G05075	2968	3114	523	522	A	0	0	1	1
AT2G24535	AT2G24545	2973	1077	2356	458	C	0	0	1	1
AT5G64570	AT5G64572	3037	3183	1436	1435	A	1	0	1	1
AT5G16230	AT5G16235	3040	3184	1452	1451	A	0	1	1	1
AT3G05900	AT3G05905	3080	2762	3308	2761	B	1	1	1	1
AT1G48100	AT1G07477	3099	3214	802	801	A	0	0	1	1
AT4G38550	AT4G38552	3107	3118	3178	3107	D	1	0	1	1
AT3G05930	AT3G05932	3124	1073	3223	1072	B	1	1	1	1
AT2G35740	AT2G35738	3139	2138	3326	2137	B	0	0	1	0
AT3G45290	AT3G07105	3139	3973	294	293	A	0	0	1	1
AT1G80310	AT1G80325	3186	1669	3467	1668	B	1	0	1	1
AT5G45480	AT5G45475	3242	2981	1180	917	D	1	0	0	0
AT1G09420	AT1G09421	3242	3412	696	695	A	0	0	0	1
AT1G22810	AT1G05767	3248	807	3232	789	D	0	0	1	0
AT4G26090	AT4G26095	3284	3535	3419	3284	D	1	1	1	1
AT1G79510	AT1G09863	3291	1976	2745	1428	D	0	0	1	1
AT2G47900	AT2G47895	3309	2327	1002	18	D	1	0	1	1
AT3G13060	AT3G13061	3326	3175	780	627	C	1	1	1	0
AT4G04220	AT4G04221	3327	2779	3328	2778	B	0	0	1	1
AT1G08590	AT1G08592	3372	3743	3295	3294	A	0	1	1	1
AT4G13920	AT4G13918	3373	2757	3590	2756	B	1	0	1	1
AT1G71530	AT1G71528	3385	3386	3453	3385	B	1	1	1	1
AT2G33050	AT2G33051	3413	2509	3587	2508	B	0	1	1	1
AT1G06560	AT1G04483	3456	4326	227	226	A	0	0	1	0
AT1G17250	AT1G17255	3467	2271	3802	2270	B	0	0	1	1
AT5G45470	AT5G45472	3493	3058	9515	3057	B	1	1	1	1
AT3G05650	AT3G01675	3496	3861	367	366	A	0	0	1	0
AT1G15170	AT1G15175	3509	2340	1415	244	C	0	0	1	1
AT1G54350	AT1G54355	3509	3554	1823	1822	A	1	1	1	1
AT1G79530	AT1G79529	3512	3193	749	428	D	1	1	1	1
AT1G75290	AT1G75295	3514	1452	2417	353	C	1	1	1	1
AT4G27850	AT4G27852	3531	3134	1885	1486	C	0	1	1	1
AT1G76780	AT1G09673	3536	7823	1349	1348	A	0	0	0	1
AT3G29642	AT3G29644	3536	1462	2546	470	C	1	0	0	0
AT3G14470	AT3G14475	3545	3830	121	120	A	1	0	0	0
AT5G41610	AT5G41612	3581	3632	2956	2955	A	1	1	1	1
AT4G26590	AT4G26582	3597	3173	2631	2205	D	0	1	0	0
AT2G20510	AT2G07305	3607	2693	967	51	D	0	0	1	1
AT5G53050	AT5G53048	3632	3330	1990	1686	D	1	0	1	1
AT4G37560	AT4G37553	3643	2198	3455	2008	C	1	0	0	0
AT2G16250	AT2G16245	3677	3673	916	910	D	0	0	0	1
AT1G56610	AT1G56612	3688	2844	1783	937	C	1	1	1	1
AT5G01180	AT5G01175	3728	2920	1007	197	D	1	0	1	1
AT1G27920	AT1G27921	3769	3194	3818	3193	B	1	1	1	1
AT4G17100	AT4G17098	3888	2591	3069	1770	D	1	1	1	1
AT2G24740	AT2G24735	3893	2268	5824	2267	B	0	0	0	1
AT3G04810	AT3G01515	3911	3971	461	460	A	0	0	1	0
AT5G01720	AT5G00785	4006	4369	235	234	A	0	0	0	1
AT1G61810	AT1G08433	4141	4808	252	251	A	0	0	1	0
AT3G21215	AT3G04065	4183	3862	593	270	D	0	0	1	1
AT4G20350	AT4G20362	4205	1911	2335	39	C	1	0	1	1
AT5G20220	AT5G20225	4231	4101	1578	1446	C	0	1	1	0
AT3G27980	AT3G27990	4331	1958	5665	1957	B	1	1	0	0
AT5G48770	AT5G48775	4398	4126	4388	4114	D	0	0	1	1
AT1G26210	AT1G26208	4429	1169	5514	1168	B	1	0	1	1
AT2G44800	AT2G44798	4484	1732	5252	1731	B	1	0	0	0
AT5G45040	AT5G06695	4488	1518	3808	836	D	0	0	0	1
AT1G17230	AT1G17232	4516	4526	4517	4516	A	0	0	1	1
AT3G47730	AT3G07805	4541	4825	4080	4079	A	0	0	1	0
AT1G33420	AT1G33415	4586	2691	7662	2690	B	1	1	1	1
AT4G38530	AT4G38545	4731	2419	2367	53	C	0	0	0	1
AT1G68940	AT1G09023	4750	4623	4943	4622	B	0	0	1	1
AT5G15850	AT5G15845	4816	1807	5211	1806	B	0	0	1	1
AT1G72860	AT1G72855	4832	4719	3009	2894	D	1	1	1	1
AT5G38210	AT5G38212	4869	4881	4956	4869	D	0	0	1	1
AT5G59660	AT5G59662	4880	4330	1389	837	C	0	0	1	1
AT1G61810	AT1G08437	4888	4808	271	189	C	0	0	1	1
AT5G63320	AT5G09155	4944	5343	895	894	A	0	0	0	1
AT2G31750	AT2G31751	5000	2954	5136	2953	B	1	1	1	1
AT5G01730	AT5G01732	5047	5055	3588	3587	A	0	1	1	1
AT3G06630	AT3G01865	5119	4719	1396	994	D	0	0	1	1
AT3G11560	AT3G02455	5172	6292	3030	3029	A	0	0	1	1
AT1G67370	AT1G67365	5442	4721	936	213	D	1	0	1	1
AT2G42360	AT2G42365	5452	1245	5378	1169	C	0	0	1	1
AT4G03080	AT4G04425	5498	5844	277	276	A	0	0	1	0
AT2G09800	AT2G09795	5513	5142	2861	2488	C	1	1	0	0
AT3G56410	AT3G56408	5866	5167	6031	5166	B	1	1	1	1
AT1G33612	AT1G33615	5887	2138	4370	619	C	1	0	1	0
AT5G10140	AT5G01675	6077	6067	6230	6066	B	0	0	1	1
AT1G05230	AT1G04353	6282	6005	1945	1666	D	0	0	1	1
AT2G39930	AT2G09090	6420	6471	1249	1248	A	0	0	1	1
AT1G44120	AT1G44125	6769	7565	6588	6587	A	1	0	1	1
AT2G14120	AT2G14115	6841	6014	844	15	D	1	1	1	1
AT1G66880	AT1G08857	7060	8767	5596	5595	A	0	0	1	1
AT1G28815	AT1G28715	7254	701	7116	561	C	0	0	1	1
AT1G33430	AT1G33415	7491	2245	7662	2244	B	0	0	1	0
AT5G45480	AT5G45472	7530	2981	9515	2980	B	1	1	1	1
